 written on  6May2026 at 17:45:09 
          18
         225
    4    2    2    2    2    2    2    2    2    2    2    2    2    2    4
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    4    2    2    2    2    2    2    2    2    2    2    2    2    2    4
   -7   -7    0    1    1    0.000015   -0.000000
   -7   -7    0    2    1    0.000191   -0.000012
   -7   -7    0    3    1   -0.000628    0.000070
   -7   -7    0    4    1   -0.000356    0.000094
   -7   -7    0    5    1   -0.000130    0.000018
   -7   -7    0    6    1    0.000031    0.000028
   -7   -7    0    7    1    0.000034    0.000019
   -7   -7    0    8    1    0.000132    0.000109
   -7   -7    0    9    1   -0.000101    0.000022
   -7   -7    0   10    1    0.000158   -0.000035
   -7   -7    0   11    1   -0.000060    0.000020
   -7   -7    0   12    1   -0.000083    0.000017
   -7   -7    0   13    1    0.000053    0.000029
   -7   -7    0   14    1   -0.000011   -0.000023
   -7   -7    0   15    1   -0.000006    0.000000
   -7   -7    0   16    1    0.000033   -0.000018
   -7   -7    0   17    1    0.000039    0.000003
   -7   -7    0   18    1   -0.000046    0.000032
   -7   -7    0    1    2    0.000191    0.000012
   -7   -7    0    2    2   -0.000004    0.000000
   -7   -7    0    3    2   -0.000055    0.000013
   -7   -7    0    4    2    0.000906   -0.000218
   -7   -7    0    5    2   -0.000009    0.000012
   -7   -7    0    6    2    0.000100   -0.000043
   -7   -7    0    7    2    0.000128    0.000152
   -7   -7    0    8    2   -0.000072    0.000043
   -7   -7    0    9    2    0.000188   -0.000038
   -7   -7    0   10    2   -0.000250    0.000047
   -7   -7    0   11    2    0.000054   -0.000010
   -7   -7    0   12    2   -0.000036    0.000020
   -7   -7    0   13    2    0.000032   -0.000026
   -7   -7    0   14    2    0.000019   -0.000032
   -7   -7    0   15    2   -0.000073    0.000031
   -7   -7    0   16    2   -0.000047   -0.000015
   -7   -7    0   17    2    0.000030   -0.000014
   -7   -7    0   18    2   -0.000004   -0.000017
   -7   -7    0    1    3   -0.000628   -0.000070
   -7   -7    0    2    3   -0.000055   -0.000013
   -7   -7    0    3    3   -0.000021   -0.000000
   -7   -7    0    4    3   -0.000022    0.000061
   -7   -7    0    5    3    0.000000    0.000027
   -7   -7    0    6    3   -0.000005   -0.000048
   -7   -7    0    7    3    0.000040   -0.000163
   -7   -7    0    8    3    0.000002   -0.000066
   -7   -7    0    9    3    0.000000    0.000008
   -7   -7    0   10    3   -0.000031    0.000059
   -7   -7    0   11    3   -0.000003    0.000003
   -7   -7    0   12    3   -0.000003   -0.000003
   -7   -7    0   13    3    0.000028    0.000007
   -7   -7    0   14    3   -0.000008   -0.000003
   -7   -7    0   15    3   -0.000005    0.000023
   -7   -7    0   16    3   -0.000011    0.000006
   -7   -7    0   17    3   -0.000097   -0.000008
   -7   -7    0   18    3    0.000067   -0.000005
   -7   -7    0    1    4   -0.000356   -0.000094
   -7   -7    0    2    4    0.000906    0.000218
   -7   -7    0    3    4   -0.000022   -0.000061
   -7   -7    0    4    4   -0.000016    0.000000
   -7   -7    0    5    4   -0.000002    0.000009
   -7   -7    0    6    4   -0.000011   -0.000074
   -7   -7    0    7    4    0.000019    0.000068
   -7   -7    0    8    4    0.000007   -0.000035
