 written on  7Jul2026 at 13:18:25 
         100
          21
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -1    0    1    1    0.000012   -0.000016
   -3   -1    0    2    1   -0.000085   -0.000016
   -3   -1    0    3    1    0.000044   -0.000013
   -3   -1    0    4    1   -0.000007   -0.000003
   -3   -1    0    5    1    0.000108   -0.000006
   -3   -1    0    6    1    0.000098   -0.000006
   -3   -1    0    7    1   -0.000029   -0.000001
   -3   -1    0    8    1    0.000052   -0.000007
   -3   -1    0    9    1   -0.000079   -0.000007
   -3   -1    0   10    1    0.000200   -0.000001
   -3   -1    0   11    1    0.000156   -0.000020
   -3   -1    0   12    1    0.000176    0.000023
   -3   -1    0   13    1   -0.000176   -0.000002
   -3   -1    0   14    1    0.000175   -0.000007
   -3   -1    0   15    1   -0.000098   -0.000010
   -3   -1    0   16    1   -0.000253   -0.000008
   -3   -1    0   17    1   -0.000012    0.000012
   -3   -1    0   18    1   -0.000084    0.000005
   -3   -1    0   19    1   -0.000170   -0.000023
   -3   -1    0   20    1    0.000288   -0.000006
   -3   -1    0   21    1   -0.000203   -0.000043
   -3   -1    0   22    1    0.000323    0.000013
   -3   -1    0   23    1   -0.000268   -0.000006
   -3   -1    0   24    1    0.000284    0.000018
   -3   -1    0   25    1    0.000004    0.000013
   -3   -1    0   26    1   -0.000034   -0.000020
   -3   -1    0   27    1    0.000057   -0.000016
   -3   -1    0   28    1   -0.000086    0.000015
   -3   -1    0   29    1    0.000079   -0.000016
   -3   -1    0   30    1   -0.000142   -0.000004
   -3   -1    0   31    1   -0.000119    0.000034
   -3   -1    0   32    1   -0.000097    0.000046
   -3   -1    0   33    1    0.000034    0.000008
   -3   -1    0   34    1   -0.000084   -0.000008
   -3   -1    0   35    1    0.000058   -0.000001
   -3   -1    0   36    1    0.000093    0.000009
   -3   -1    0   37    1    0.000064   -0.000042
   -3   -1    0   38    1   -0.000070    0.000025
   -3   -1    0   39    1    0.000076    0.000040
   -3   -1    0   40    1    0.000152    0.000004
   -3   -1    0   41    1   -0.000063   -0.000008
   -3   -1    0   42    1   -0.000120    0.000003
   -3   -1    0   43    1   -0.000273    0.000006
   -3   -1    0   44    1    0.000323    0.000017
   -3   -1    0   45    1   -0.000014    0.000004
   -3   -1    0   46    1   -0.000041    0.000004
   -3   -1    0   47    1    0.000070   -0.000005
   -3   -1    0   48    1   -0.000007   -0.000010
   -3   -1    0   49    1    0.000024    0.000000
   -3   -1    0   50    1   -0.000021    0.000003
   -3   -1    0   51    1    0.000083    0.000000
   -3   -1    0   52    1    0.000025   -0.000003
   -3   -1    0   53    1   -0.000067   -0.000004
   -3   -1    0   54    1   -0.000002   -0.000003
   -3   -1    0   55    1   -0.000021    0.000004
   -3   -1    0   56    1    0.000005    0.000002
   -3   -1    0   57    1   -0.000025    0.000002
   -3   -1    0   58    1    0.000007   -0.000001
   -3   -1    0   59    1    0.000184   -0.000018
   -3   -1    0   60    1   -0.000029    0.000022
   -3   -1    0   61    1   -0.000081    0.000007
   -3   -1    0   62    1    0.000316   -0.000001
   -3   -1    0   63    1    0.000096   -0.000001
   -3   -1    0   64    1   -0.000205    0.000003
   -3   -1    0   65    1   -0.000012    0.000004
   -3   -1    0   66    1    0.000020    0.000007
   -3   -1    0   67    1    0.000322    0.000022
   -3   -1    0   68    1    0.000165    0.000015
   -3   -1    0   69    1   -0.000149    0.000011
   -3   -1    0   70    1    0.000059   -0.000019
   -3   -1    0   71    1    0.000181   -0.000015
   -3   -1    0   72    1    0.000181    0.000016
   -3   -1    0   73    1    0.000112   -0.000004
   -3   -1    0   74    1   -0.000161   -0.000008
   -3   -1    0   75    1   -0.000153   -0.000010
   -3   -1    0   76    1    0.000045   -0.000001
   -3   -1    0   77    1    0.000041    0.000013
   -3   -1    0   78    1   -0.000147   -0.000020
   -3   -1    0   79    1    0.000041   -0.000004
   -3   -1    0   80    1   -0.000114    0.000005
   -3   -1    0   81    1    0.000498    0.000006
   -3   -1    0   82    1   -0.000047   -0.000055
   -3   -1    0   83    1    0.000365   -0.000065
   -3   -1    0   84    1    0.000027    0.000004
   -3   -1    0   85    1    0.000006    0.000025
   -3   -1    0   86    1   -0.000117    0.000011
   -3   -1    0   87    1   -0.000014    0.000006
   -3   -1    0   88    1    0.000121    0.000024
   -3   -1    0   89    1   -0.000134    0.000009
   -3   -1    0   90    1    0.000298    0.000012
   -3   -1    0   91    1   -0.000283    0.000002
   -3   -1    0   92    1   -0.000003   -0.000011
   -3   -1    0   93    1    0.000181   -0.000024
   -3   -1    0   94    1    0.000183   -0.000109
   -3   -1    0   95    1   -0.000517   -0.000004
   -3   -1    0   96    1    0.000056    0.000019
   -3   -1    0   97    1   -0.000074   -0.000000
   -3   -1    0   98    1   -0.000077   -0.000008
   -3   -1    0   99    1    0.000030    0.000006
   -3   -1    0  100    1    0.000018   -0.000012
   -3   -1    0    1    2   -0.000201    0.000003
   -3   -1    0    2    2   -0.000026   -0.000003
   -3   -1    0    3    2   -0.000099    0.000001
   -3   -1    0    4    2    0.000074   -0.000007
   -3   -1    0    5    2    0.000012   -0.000013
   -3   -1    0    6    2    0.000154   -0.000011
   -3   -1    0    7    2    0.000070   -0.000002
   -3   -1    0    8    2   -0.000019   -0.000005
   -3   -1    0    9    2    0.000017   -0.000004
   -3   -1    0   10    2    0.000251    0.000007
   -3   -1    0   11    2   -0.000030   -0.000020
   -3   -1    0   12    2    0.000074    0.000026
   -3   -1    0   13    2    0.000198    0.000003
   -3   -1    0   14    2   -0.000101   -0.000013
   -3   -1    0   15    2    0.000300   -0.000014
   -3   -1    0   16    2   -0.000521    0.000010
   -3   -1    0   17    2    0.000301   -0.000010
   -3   -1    0   18    2   -0.000150   -0.000011
   -3   -1    0   19    2    0.000226   -0.000022
   -3   -1    0   20    2   -0.000239    0.000004
   -3   -1    0   21    2    0.000105    0.000010
   -3   -1    0   22    2   -0.000137    0.000017
   -3   -1    0   23    2    0.000178   -0.000010
   -3   -1    0   24    2   -0.000205    0.000014
   -3   -1    0   25    2    0.000155    0.000005
